Bystrooki (Sharp-Eyed)
Bystry (Clever)
Chaotyczny (Chaotic)
Ciekawy (Inquisitive)
Dziki (Rugged)
Dziwny (Weird)
Empatyczny (Empathic)
Honorowy (Honorable)
Idiotyczny (Foolish)
Impulsywny (Impulsive)
Inteligentny (Intelligent)
Intuitywny (Intuitive)
Kreatywny (Creative)
Mechaniczny (Mechanical)
Milkliwy (Tongue-Tied)
Mistyczny (Mystical)
Miły (Kind)
Naiwny (Naive)
Niehonorowy (Dishonorable)
Niezręczny (Clumsy)
Odporny (Resilient)
Odporny Psychicznie (Strong-Willed)
Okrutny (Cruel)
Ostrożny (Guarded)
Pewny Siebie (Brash)
Pełen Wdzięku (Graceful)
Piękny (Appealing)
Przyjazny (Jovial)
Przymilny (Beneficent)
Ryzykujący (Risk-Taking)
Sceptyczny (Skeptical)
Silny (Strong)
Skazany na Zagładę (Doomed)
Spokojny (Calm)
Szalony (Mad)
Szczęśliwy (Lucky)
Szlachetny (Virtuous)
Szpetny (Hideous)
Szybki (Fast)
Tajemniczy (Mysterious)
Tchórzliwy (Craven)
Twardy (Tough)
Uczony (Learned)
Ukradkowy (Stealthy)
Urokliwy (Charming)
Uważny (Perceptive)
Wygnany (Exiled)
Wytrzymały (Hardy)
Zwinny (Swift)
Złośliwy (Vicious)
